,File,Folder
60,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Sept\S_S Sep 23,24,25.pdf",motel
61,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Sept\S_S Sep 26.pdf,motel
62,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Sept\S_S Sep 27,28.pdf",motel
63,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Fax East Colfax Redevelopment LLC\Billboard Payment.pdf,motel
64,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Fax East Colfax Redevelopment LLC\Habitat Metro_Hardware Motels.pdf,motel
65,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Dec\West_Dec 1,2,3,4.pdf",motel
66,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Dec\West_Dec 10,11,12.pdf",motel
67,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Dec\West_Dec 5,6,7,8,9.pdf",motel
68,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Dec\West_Dec13,14.pdf",motel
69,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West Nov 24.pdf,motel
70,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West Nov 4,5,6.pdf",motel
71,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West Nov 7,8.pdf",motel
72,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 1.png,motel
73,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 11,12,13.pdf",motel
74,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 13,.....15,16,17.pdf",motel
75,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 2,3.pdf",motel
76,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 21.pdf,motel
77,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 23.pdf,motel
78,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 25.pdf,motel
79,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 26.pdf,motel
80,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 27.pdf,motel
81,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov 9.pdf,motel
82,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov13. 15,16,17.pdf",motel
83,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov18.pdf,motel
84,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov19.pdf,motel
85,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov20.pdf,motel
86,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov22.pdf,motel
87,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Nov\West_Nov28,29,30.pdf",motel
88,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\Monica_s Notes_10_11_22- Motel Cash Notes.docx,motel
89,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 1,2.pdf",motel
90,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 11,12,13.pdf",motel
91,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 14,15,16,17.pdf",motel
92,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 18,19.pdf",motel
93,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 20.pdf,motel
94,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 21.pdf,motel
95,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 22.pdf,motel
96,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 23.pdf,motel
97,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 24.pdf,motel
98,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 25.pdf,motel
99,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 26,27(1).pdf",motel
100,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 26,27.pdf",motel
101,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 28,29,30,31.pdf",motel
102,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 3,4,5.pdf",motel
103,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 6,7.pdf",motel
104,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Oct\West_Oct 8,9,10.pdf",motel
105,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Sept\West_SEp 14,15.pdf",motel
106,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Sept\West_Sep 16,17,18,19.pdf",motel
107,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Sept\West_Sep 20,21,22.pdf",motel
108,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Sept\West_Sep 23,24,25.pdf",motel
109,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Sept\West_Sep 26.pdf,motel
110,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Sept\West_Sep 27,28.pdf",motel
111,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\Scanned Reservations Sheeets\Sept\West_Sep 29,30- Oct 1,2.pdf",motel
112,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\The Westerner\The Westerner Booking-Reservations Transactions\The Westerner Reservation Transactions.xlsx,motel
113,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Bank Activities\2022 Motels BANK Transactions\2022 Motels Bank Activities.xlsx,motel
